1695777111483,53.0
1695777119750,53.0
1695777794053,53.0
1695779193321,53.0
1695781237360,52.0
1695784251737,52.0
1695785656945,52.0
1695788050553,52.0
1695789420330,51.0
1695795188869,51.0
1695802941738,49.0
1695810174193,49.0
1695819022393,47.0
1695823569647,46.0
1695823924673,46.0
1695824057243,46.0
1695825507733,46.0
1695825523736,46.0
1695825568626,46.0
1695827693583,45.0
1695828610626,45.0
1695829576240,45.0
1695829626449,45.0
1695829637146,45.0
1695829645210,45.0
1695830110567,44.0
1695830142231,44.0
1695830148183,44.0
1695830186655,44.0
1695830194477,44.0
1695830208056,44.0
1695830235368,44.0
1695830252655,44.0
1695830265171,44.0
1695830279972,44.0
1695830313886,44.0
1695830318842,44.0
1695830324272,44.0
1695830372965,43.0
1695830383088,43.0
1695830413962,43.0
1695830468294,43.0
1695831177266,42.0
1695831364015,41.0
1695831975031,40.0
1695832018726,40.0
1695832589849,39.0
1695832594876,39.0
1695832757188,39.0
1695832907966,39.0
1695833545004,38.0
1695834312089,37.0
1695835070395,36.0
1695835628505,35.0
1695835792182,34.0
1695836749740,33.0
1695836808089,33.0
1695837642186,33.0
1695837660420,33.0
1695837756892,33.0
1695837767775,33.0
1695837785414,33.0
1695837873946,32.0
1695838128195,32.0
1695838145259,32.0
1695838160809,32.0
